,bat,runs,balls,dismissals,avg,rpo
739,Virat Kohli,1986,1610,29.0,68.48,7.4
570,Rohit Sharma,1756,1209,24.0,73.17,8.71
299,Jason Roy,1477,1114,21.0,70.33,7.96
164,David Warner,1275,923,22.0,57.95,8.29
323,Jonny Bairstow,1243,886,16.0,77.69,8.42
312,Joe Root,1203,1158,19.0,63.32,6.23
533,Quinton de Kock,1178,863,11.0,107.09,8.19
324,Jos Buttler,1127,716,17.0,66.29,9.44
639,Shikhar Dhawan,1081,820,19.0,56.89,7.91
416,Martin Guptill,1078,821,20.0,53.9,7.88
198,Eoin Morgan,1058,861,30.0,35.27,7.37
252,Hashim Amla,937,688,13.0,72.08,8.17
0,AB de Villiers,881,506,10.0,88.1,10.45
697,Tillakaratne Dilshan,824,771,16.0,51.5,6.41
163,David Miller,734,448,11.0,66.73,9.83
370,Kusal Perera,726,602,11.0,66.0,7.24
92,Ben Stokes,696,518,15.0,46.4,8.06
203,Faf du Plessis,695,540,11.0,63.18,7.72
645,Shreyas Iyer,691,542,12.0,57.58,7.65
450,Moeen Ali,663,483,22.0,30.14,8.24
226,Glenn Maxwell,625,314,15.0,41.67,11.94
646,Shubman Gill,609,510,11.0,55.36,7.16
730,Upul Tharanga,600,557,12.0,50.0,6.46
664,Steven Smith,595,538,20.0,29.75,6.64
517,Paul Stirling,585,390,10.0,58.5,9.0
720,Travis Head,576,417,15.0,38.4,8.29
34,Alex Hales,560,418,12.0,46.67,8.04
341,Kane Williamson,533,539,10.0,53.3,5.93
683,Tamim Iqbal,527,455,8.0,65.88,6.95
573,Ross Taylor,513,415,4.0,128.25,7.42
631,Shane Watson,513,403,16.0,32.06,7.64
2,Aaron Finch,510,495,11.0,46.36,6.18
205,Fakhar Zaman,510,334,5.0,102.0,9.16
85,Babar Azam,495,391,11.0,45.0,7.6
446,Mitchell Marsh,490,363,11.0,44.55,8.1
335,KL Rahul,477,387,9.0,53.0,7.4
255,Heinrich Klaasen,474,257,8.0,59.25,11.07
303,Jean-Paul Duminy,467,345,12.0,38.92,8.12
369,Kusal Mendis,451,373,15.0,30.07,7.25
415,Marnus Labuschagne,438,407,12.0,36.5,6.46
127,Chris Gayle,423,273,14.0,30.21,9.3
740,Virender Sehwag,414,304,5.0,82.8,8.17
106,Brendon McCullum,411,297,10.0,41.1,8.3
167,Dawid Malan,408,353,5.0,81.6,6.93
502,Niroshan Dickwella,406,324,7.0,58.0,7.52
243,Hardik Pandya,396,293,8.0,49.5,8.11
623,Shai Hope,381,349,9.0,42.33,6.55
515,Pathum Nissanka,371,279,2.0,185.5,7.98
373,Kyle Coetzer,367,290,2.0,183.5,7.59
390,Litton Das,361,268,6.0,60.17,8.08
400,MS Dhoni,359,253,12.0,29.92,8.51
453,Mohammad Hafeez,359,297,6.0,59.83,7.25
713,Tom Latham,349,261,12.0,29.08,8.02
218,Gautam Gambhir,347,342,6.0,57.83,6.09
691,Temba Bavuma,346,273,6.0,57.67,7.6
368,Kumar Sangakkara,334,325,5.0,66.8,6.17
22,Aiden Markram,333,231,8.0,41.62,8.65
29,Alastair Cook,333,287,5.0,66.6,6.96
260,Ian Bell,321,253,6.0,53.5,7.61
462,Mohammad Shahzad,319,252,4.0,79.75,7.6
657,Soumya Sarkar,319,229,5.0,63.8,8.36
51,Andrew Strauss,301,262,5.0,60.2,6.89
175,Devon Conway,296,238,2.0,148.0,7.46
534,Rachin Ravindra,292,209,5.0,58.4,8.38
625,Shakib Al Hasan,290,247,4.0,72.5,7.04
79,Avishka Fernando,289,231,5.0,57.8,7.51
268,Imrul Kayes,289,275,6.0,48.17,6.31
57,Angelo Mathews,284,229,8.0,35.5,7.44
402,Mahela Jayawardene,283,251,5.0,56.6,6.76
266,Imam-ul-Haq,282,247,7.0,40.29,6.85
25,Ajinkya Rahane,275,216,5.0,55.0,7.64
643,Shoaib Malik,273,204,7.0,39.0,8.03
155,Danushka Gunathilaka,272,261,8.0,34.0,6.25
137,Colin Munro,267,170,6.0,44.5,9.42
32,Alex Carey,265,251,9.0,29.44,6.33
586,Sachin Tendulkar,263,214,3.0,87.67,7.37
183,Dinesh Chandimal,257,272,7.0,36.71,5.67
398,Luke Ronchi,256,162,11.0,23.27,9.48
589,Sadeera Samarawickrama,248,198,8.0,31.0,7.52
256,Henry Nicholls,246,221,5.0,49.2,6.68
219,George Bailey,246,181,5.0,49.2,8.15
647,Sikandar Raza,244,163,3.0,81.33,8.98
349,Kedar Jadhav,241,151,5.0,48.2,9.58
477,Mushfiqur Rahim,240,231,6.0,40.0,6.23
524,Phil Salt,235,180,5.0,47.0,7.83
143,Craig Kieswetter,230,200,3.0,76.67,6.9
111,Calum MacLeod,230,157,2.0,115.0,8.79
753,William Porterfield,230,237,2.0,115.0,5.82
231,Grant Elliott,226,171,6.0,37.67,7.93
320,Johnson Charles,219,183,3.0,73.0,7.18
536,Rahmanullah Gurbaz,217,158,2.0,108.5,8.24
674,Suryakumar Yadav,215,135,6.0,35.83,9.56
604,Sarfaraz Ahmed,214,165,3.0,71.33,7.78
182,Dimuth Karunaratne,213,195,3.0,71.0,6.55
409,Marcus Stoinis,212,167,8.0,26.5,7.62
448,Mitchell Santner,211,152,7.0,30.14,8.33
473,Muhammad Waseem,207,131,3.0,69.0,9.48
380,Lahiru Thirimanne,207,237,2.0,103.5,5.24
161,Dasun Shanaka,206,154,7.0,29.43,8.03
159,Daryl Mitchell,205,171,6.0,34.17,7.19
461,Mohammad Rizwan,200,176,4.0,50.0,6.82
15,Adil Rashid,200,160,9.0,22.22,7.5
206,Farhaan Behardien,195,115,3.0,65.0,10.17
640,Shimron Hetmyer,192,139,4.0,48.0,8.29
273,Ishan Kishan,191,133,6.0,31.83,8.62
673,Suresh Raina,191,129,5.0,38.2,8.88
558,Rilee Rossouw,191,153,5.0,38.2,7.49
179,Dhananjaya de Silva,188,200,9.0,20.89,5.64
548,Ravindra Jadeja,188,141,5.0,37.6,8.0
282,James Faulkner,187,123,6.0,31.17,9.12
239,Hamilton Masakadza,184,172,5.0,36.8,6.42
166,David Willey,183,156,9.0,20.33,7.04
733,Usman Khawaja,181,159,5.0,36.2,6.83
499,Nicholas Pooran,181,116,4.0,45.25,9.36
432,Michael Clarke,180,181,3.0,60.0,5.97
408,Marco Jansen,180,136,3.0,60.0,7.94
634,Sharjeel Khan,178,102,4.0,44.5,10.47
289,James Vince,169,166,2.0,84.5,6.11
21,Ahmed Shehzad,167,159,2.0,83.5,6.3
221,George Munsey,163,110,3.0,54.33,8.89
748,Wesley Barresi,162,102,1.0,162.0,9.53
389,Liam Plunkett,162,115,4.0,40.5,8.45
635,Shaun Marsh,161,144,5.0,32.2,6.71
75,Asif Ali,156,100,5.0,31.2,9.36
362,Kiplin Doriga,155,136,4.0,38.75,6.84
414,Marlon Samuels,155,117,6.0,25.83,7.95
354,Kevin Pietersen,149,126,4.0,37.25,7.1
716,Tony Ura,149,139,3.0,49.67,6.43
102,Brad Haddin,148,128,5.0,29.6,6.94
328,Josh Inglis,147,119,7.0,21.0,7.41
302,Javed Ahmadi,147,141,2.0,73.5,6.26
694,Thisara Perera,146,125,7.0,20.86,7.01
286,James Neesham,145,88,2.0,72.5,9.89
296,Jason Holder,145,116,7.0,20.71,7.5
560,Rishabh Pant,145,91,6.0,24.17,9.56
595,Sam Billings,144,153,9.0,16.0,5.65
130,Chris Woakes,140,115,9.0,15.56,7.3
142,Craig Ervine,139,114,1.0,139.0,7.32
611,Sean Williams,139,95,2.0,69.5,8.78
557,Ricky Ponting,139,134,1.0,139.0,6.22
227,Glenn Phillips,138,99,5.0,27.6,8.36
261,Ibrahim Zadran,138,148,2.0,69.0,5.59
741,Vriitya Aravind,138,158,1.0,138.0,5.24
158,Darren Bravo,137,123,4.0,34.25,6.68
545,Rassie van der Dussen,135,162,6.0,22.5,5.0
122,Charith Asalanka,133,111,2.0,66.5,7.19
201,Evin Lewis,132,94,2.0,66.0,8.43
445,Mitchell Johnson,132,96,4.0,33.0,8.25
45,Andile Phehlukwayo,125,88,3.0,41.67,8.52
293,Janneman Malan,121,88,1.0,121.0,8.25
403,Mahmudullah,121,120,5.0,24.2,6.05
123,Charles Amini,121,70,2.0,60.5,10.37
41,Ambati Rayudu,120,91,2.0,60.0,7.91
620,Shahid Afridi,119,45,4.0,29.75,15.87
551,Reeza Hendricks,119,104,3.0,39.67,6.87
596,Sam Curran,118,88,5.0,23.6,8.05
481,Najmul Hossain Shanto,114,81,3.0,38.0,8.44
407,Manish Pandey,114,105,2.0,57.0,6.51
322,Jonathan Trott,114,101,4.0,28.5,6.77
427,Max O'Dowd,113,96,1.0,113.0,7.06
406,Malcolm Waller,113,70,2.0,56.5,9.69
136,Colin Ingram,112,102,4.0,28.0,6.59
426,Matthew Wade,109,86,8.0,13.62,7.6
184,Dinesh Karthik,109,107,3.0,36.33,6.11
248,Harry Tector,109,85,3.0,36.33,7.69
665,Steven Taylor,108,90,3.0,36.0,7.2
307,Jesse Ryder,107,70,2.0,53.5,9.17
343,Karim Sadiq,106,107,1.0,106.0,5.94
103,Brandon King,105,96,4.0,26.25,6.56
563,Rob Nicol,105,94,3.0,35.0,6.7
271,Irfan Karim,105,85,1.0,105.0,7.41
752,Will Young,105,77,2.0,52.5,8.18
601,Sanju Samson,103,88,1.0,103.0,7.02
546,Ravi Bopara,103,56,2.0,51.5,11.04
718,Towhid Hridoy,102,63,3.0,34.0,9.71
228,Graeme Smith,101,95,4.0,25.25,6.38
433,Michael Hussey,100,80,1.0,100.0,7.5
610,Sean Abbott,100,74,4.0,25.0,8.11
91,Ben McDermott,99,112,1.0,99.0,5.3
662,Steven Davies,97,69,1.0,97.0,8.43
141,Corey Anderson,96,111,3.0,32.0,5.19
82,Azhar Ali,96,91,6.0,16.0,6.33
195,Ed Joyce,95,61,3.0,31.67,9.34
54,Andy Balbirnie,91,58,3.0,30.33,9.41
422,Matthew Cross,91,86,4.0,22.75,6.35
245,Haris Sohail,91,61,2.0,45.5,8.95
626,Shamarh Brooks,89,82,2.0,44.5,6.51
732,Usman Ghani,89,86,2.0,44.5,6.21
44,Anamul Haque,89,72,3.0,29.67,7.42
105,Brendan Taylor,88,73,1.0,88.0,7.23
456,Mohammad Nabi,88,40,2.0,44.0,13.2
372,Kushal Malla,88,67,1.0,88.0,7.88
220,George Dockrell,87,62,1.0,87.0,8.42
412,Mark Chapman,87,62,5.0,17.4,8.42
353,Kevin O'Brien,87,48,4.0,21.75,10.88
660,Stephan Myburgh,86,67,1.0,86.0,7.7
535,Ragheb Aga,86,67,1.0,86.0,7.7
429,Mehidy Hasan Miraz,84,72,3.0,28.0,7.0
224,Gerhard Erasmus,84,78,1.0,84.0,6.46
262,Iftikhar Ahmed,83,48,1.0,83.0,10.38
711,Tom Curran,83,57,1.0,83.0,8.74
112,Cameron Green,83,90,4.0,20.75,5.53
388,Liam Livingstone,81,63,4.0,20.25,7.71
738,Vikramjit Singh,79,59,2.0,39.5,8.03
441,Michael van Lingen,78,52,,,9.0
612,Seekkuge Prasanna,78,56,5.0,15.6,8.36
751,Will Jacks,77,84,,,5.5
497,Niall O'Brien,77,58,2.0,38.5,7.97
387,Lewis Gregory,77,69,1.0,77.0,6.7
742,Vusi Sibanda,75,55,1.0,75.0,8.18
6,Aasif Sheikh,75,60,1.0,75.0,7.5
568,Rohan Mustafa,75,71,4.0,18.75,6.34
430,Michael Bracewell,72,48,2.0,36.0,9.0
321,Jonathan Carter,72,70,1.0,72.0,6.17
90,Ben Duckett,72,78,4.0,18.0,5.54
505,Noor Ali Zadran,71,95,3.0,23.67,4.48
514,Pat Cummins,70,55,2.0,35.0,7.64
265,Imad Wasim,69,45,4.0,17.25,9.2
222,George Worker,69,59,2.0,34.5,7.02
346,Kashyap Prajapati,69,79,1.0,69.0,5.24
581,Ryan Burl,68,38,,,10.74
460,Mohammad Nawaz,68,69,2.0,34.0,5.91
675,Sushant Modani,68,95,,,4.29
359,Kieran Powell,67,48,1.0,67.0,8.38
600,Sandun Weerakkody,67,59,2.0,33.5,6.81
267,Imran Farhat,66,69,,,5.74
258,Hiral Patel,66,82,2.0,33.0,4.83
442,Milinda Siriwardana,66,39,1.0,66.0,10.15
339,Kamran Akmal,66,47,2.0,33.0,8.43
394,Loots Bosman,66,44,2.0,33.0,9.0
192,Dwayne Bravo,66,41,1.0,66.0,9.66
301,Jatinder Singh,66,70,5.0,13.2,5.66
74,Ashton Turner,65,29,,,13.45
655,Solomon Mire,64,63,3.0,21.33,6.1
12,Adam Voges,64,55,1.0,64.0,6.98
199,Eric Szwarczynski,64,50,2.0,32.0,7.68
376,Kyle Mayers,64,59,4.0,16.0,6.51
120,Chamu Chibhabha,63,62,1.0,63.0,6.1
575,Rovman Powell,63,45,2.0,31.5,8.4
605,Saud Shakeel,63,59,2.0,31.5,6.41
193,Dwayne Smith,62,54,,,6.89
69,Asela Gunaratne,62,61,2.0,31.0,6.1
717,Tony de Zorzi,62,54,2.0,31.0,6.89
671,Sunil Ambris,61,52,1.0,61.0,7.04
555,Richie Berrington,61,69,3.0,20.33,5.3
764,Zak Crawley,61,62,1.0,61.0,5.9
770,Zunaed Siddique,60,59,4.0,15.0,6.1
157,Daren Sammy,60,46,3.0,20.0,7.83
279,Jacques Kallis,59,72,1.0,59.0,4.92
435,Michael Leask,57,27,2.0,28.5,12.67
351,Keemo Paul,57,32,1.0,57.0,10.69
60,Anshy Rath,57,51,2.0,28.5,6.71
760,Yusuf Pathan,56,38,4.0,14.0,8.84
468,Monank Patel,56,56,1.0,56.0,6.0
315,John Campbell,56,28,2.0,28.0,12.0
633,Shardul Thakur,55,38,2.0,27.5,8.68
475,Murali Vijay,55,63,1.0,55.0,5.24
413,Mark Wood,55,30,1.0,55.0,11.0
385,Lendl Simmons,55,41,1.0,55.0,8.05
743,Wahab Riaz,54,46,2.0,27.0,7.04
615,Sese Bau,52,48,2.0,26.0,6.5
759,Younis Khan,52,42,1.0,52.0,7.43
501,Nikolaas Davin,52,44,,,7.09
761,Yuvraj Singh,52,55,5.0,10.4,5.67
480,Najibullah Zadran,51,38,2.0,25.5,8.05
585,Sabbir Rahman,51,38,3.0,17.0,8.05
78,Assad Vala,51,62,2.0,25.5,4.94
310,Joe Burns,51,51,,,6.0
73,Ashton Agar,50,52,1.0,50.0,5.77
562,Rizwan Cheema,50,56,1.0,50.0,5.36
690,Teja Nidamanuru,49,28,2.0,24.5,10.5
363,Kirk Edwards,49,46,,,6.39
565,Robin Peterson,49,56,2.0,24.5,5.25
488,Nathan Ellis,49,40,2.0,24.5,7.35
132,Christopher McBride,48,43,,,6.7
311,Joe Denly,48,53,,,5.43
276,JP Kotze,47,29,1.0,47.0,9.72
318,John Mooney,47,30,2.0,23.5,9.4
4,Aaron Johnson,47,22,1.0,47.0,12.82
371,Kushal Bhurtel,47,32,1.0,47.0,8.81
489,Nathan McCullum,46,21,2.0,23.0,13.14
87,Bas Zuiderent,45,34,,,7.94
185,Dipendra Singh Airee,45,48,,,5.62
337,Kagiso Rabada,45,22,,,12.27
537,Rahmat Shah,45,59,3.0,15.0,4.58
126,Chirag Suri,44,34,1.0,44.0,7.76
624,Shaiman Anwar,44,29,1.0,44.0,9.1
55,Andy McBrine,44,43,1.0,44.0,6.14
699,Tim David,44,47,3.0,14.67,5.62
18,Afif Hossain,44,31,2.0,22.0,8.52
197,Elton Chigumbura,44,33,3.0,14.67,8.0
88,Bas de Leede,43,34,2.0,21.5,7.59
63,Aqib Ilyas,42,26,,,9.69
110,Callum Ferguson,42,39,1.0,42.0,6.46
247,Harry Brook,42,46,2.0,21.0,5.48
280,Jahurul Islam,42,41,2.0,21.0,6.15
172,Denesh Ramdin,41,28,1.0,41.0,8.79
250,Hasan Ali,41,28,2.0,20.5,8.79
467,Mominul Haque,41,39,2.0,20.5,6.31
33,Alex Cusack,41,57,1.0,41.0,4.32
737,Vijay Shankar,41,30,1.0,41.0,8.2
621,Shahriar Nafees,40,46,,,5.22
687,Tarisai Musakanda,40,27,1.0,40.0,8.89
629,Shamsur Rahman,40,35,,,6.86
66,Aryan Lakra,40,41,1.0,40.0,5.85
622,Shahzaib Hasan,40,38,1.0,40.0,6.32
8,Abdullah Shafique,39,33,,,7.09
513,Parthiv Patel,39,28,,,8.36
210,Finn Allen,39,21,,,11.14
283,James Franklin,39,17,,,13.76
522,Peter Ingram,38,52,3.0,12.67,4.38
171,Deepak Hooda,38,46,1.0,38.0,4.96
395,Lorcan Tucker,38,41,2.0,19.0,5.56
698,Tim Bresnan,38,26,4.0,9.5,8.77
48,Andre Russell,38,24,2.0,19.0,9.5
544,Rashid Khan,38,25,2.0,19.0,9.12
138,Colin de Grandhomme,37,27,2.0,18.5,8.22
603,Saqib Zulfiqar,37,23,2.0,18.5,9.65
579,Ruturaj Gaikwad,37,43,2.0,18.5,5.16
139,Collins Obuya,37,24,1.0,37.0,9.25
366,Krunal Pandya,37,44,1.0,37.0,5.05
263,Ihsanullah,37,24,,,9.25
765,Zane Green,37,18,1.0,37.0,12.33
253,Hashmatullah Shahidi,37,49,2.0,18.5,4.53
30,Albie Morkel,37,21,1.0,37.0,10.57
216,Gary Wilson,37,47,3.0,12.33,4.72
317,John Hastings,36,21,,,10.29
744,Wanindu Hasaranga,36,20,1.0,36.0,10.8
607,Scott Edwards,36,25,1.0,36.0,8.64
86,Babar Hayat,35,39,2.0,17.5,5.38
186,Divan la Cock,35,25,1.0,35.0,8.4
552,Regis Chakabva,35,44,2.0,17.5,4.77
483,Nasir Hossain,35,26,,,8.08
708,Tom Banton,35,32,2.0,17.5,6.56
451,Mohammad Ashraful,34,38,,,5.37
145,Craig Wallace,34,18,2.0,17.0,11.33
37,Alick Athanaze,34,40,1.0,34.0,5.1
393,Logan van Beek,34,18,1.0,34.0,11.33
525,Phillip Hughes,34,25,,,8.16
211,Fraser Watts,34,41,1.0,34.0,4.98
114,Carlos Brathwaite,33,28,2.0,16.5,7.07
347,Kasun Rajitha,33,32,2.0,16.5,6.19
685,Tanzid Hasan,33,16,2.0,16.5,12.38
516,Paul Collingwood,33,32,1.0,33.0,6.19
162,David Hussey,33,14,1.0,33.0,14.14
482,Narsingh Deonarine,32,28,,,6.86
287,James Taylor,32,37,1.0,32.0,5.19
236,Gus Atkinson,32,19,3.0,10.67,10.11
83,Azmatullah Omarzai,31,19,1.0,31.0,9.79
701,Tim Paine,31,38,3.0,10.33,4.89
